                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 95.303,                      0,                      0,                      0,                      0,                      0,                      0,                 130.16,                      0,             0.00047332,             0.00047332,             0.00047332
                      2,                      0,                 52.373,                      0,                      0,                      0,                      0,                      0,                      0,                 20.521,                      0,             0.00085564,             0.00085564,             0.00085564
                      3,                      0,                 20.756,                      0,                      0,                      0,                      0,                      0,                      0,                0.07164,                      0,              0.0011436,              0.0011436,              0.0011436
                      4,                      0,                 6.2148,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010046,              0.0010046,              0.0010046
                      5,                      0,                 1.4992,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010046,              0.0010046,              0.0010046
                      6,                      0,                0.32429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086312,             0.00086312,             0.00086312
                      7,                      0,                0.08662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00072164,             0.00072164,             0.00072164
                      8,                      0,                 0.0344,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058017,             0.00058017,             0.00058017
                      9,                      0,                0.01699,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004387,              0.0004387,              0.0004387
                     10,                      0,                0.01362,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029723,             0.00029723,             0.00029723
