                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96097,                 2.7355,                 1.5871,                0.39754,                0.73118,                0.60906,                0.35437,                 6.0957,                 8.9937,                 12.045,             0.00047332,             0.00047332,             0.00047332
                      2,                0.71045,                  1.392,                  1.366,                0.66756,                0.50732,                0.57922,                0.39266,                 6.0185,                 3.5101,                 10.591,             0.00085564,             0.00085564,             0.00085564
                      3,                0.62584,                0.88558,                 1.2968,                0.78133,                0.83396,                0.89322,                0.54216,                 6.1189,                 5.0289,                  11.44,              0.0011436,              0.0011436,              0.0011436
                      4,                0.54485,                0.61676,                 1.2282,                0.80301,                0.80215,                0.80788,                0.61077,                 6.0072,                 2.8699,                 11.082,              0.0010046,              0.0010046,              0.0010046
                      5,                0.50373,                0.55876,                 1.1957,                0.10257,                0.45699,                0.20213,                0.12336,                 6.0253,                  3.768,                 9.4018,              0.0010046,              0.0010046,              0.0010046
                      6,                0.42288,                0.42247,                 1.1285,                0.94113,                0.74462,                0.85817,                 0.5888,                 6.0593,                 3.0292,                 11.314,             0.00086312,             0.00086312,             0.00086312
                      7,                0.36473,                0.35352,                  1.087,                0.85608,                0.76559,                0.84863,                0.63512,                 5.9995,                  4.184,                 11.843,             0.00072164,             0.00072164,             0.00072164
                      8,                0.31433,                0.31066,                 1.0502,                0.95486,                0.67882,                0.77094,                0.59936,                 5.9989,                 3.3429,                 10.499,             0.00058017,             0.00058017,             0.00058017
                      9,                0.29853,                0.28776,                 1.0369,                0.89303,                0.79448,                0.86945,                0.62714,                 6.0476,                 3.8388,                 11.505,              0.0004387,              0.0004387,              0.0004387
                     10,                0.24727,                0.24369,                 1.0065,                0.92289,                0.76052,                0.81143,                0.63416,                   5.99,                 4.1592,                  11.24,             0.00029723,             0.00029723,             0.00029723
