                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96521,                  2.742,                 1.5895,                0.54295,                0.78763,                0.70889,                0.54849,                  5.992,                 5.8551,                 10.175,             0.00047332,             0.00047332,             0.00047332
                      2,                0.70927,                 1.3778,                 1.3632,                0.53488,                0.63172,                0.49894,                0.33787,                 6.0144,                 4.7908,                 10.904,             0.00085564,             0.00085564,             0.00085564
                      3,                0.62494,                0.89094,                 1.2942,                0.94554,                0.94599,                0.98195,                 0.6667,                 6.0682,                 3.8897,                 11.532,              0.0011436,              0.0011436,              0.0011436
                      4,                0.55168,                0.62654,                 1.2333,                0.79113,                 0.7811,                0.85611,                0.65538,                 6.0141,                 3.9974,                 10.904,              0.0010046,              0.0010046,              0.0010046
                      5,                 0.4912,                0.53325,                 1.1866,                0.66626,                0.58861,                0.73325,                0.47423,                 6.0805,                 2.7768,                 10.363,              0.0010046,              0.0010046,              0.0010046
                      6,                0.42792,                0.43882,                 1.1334,                0.87439,                0.72266,                0.82259,                0.63804,                 6.0063,                  3.315,                 11.195,             0.00086312,             0.00086312,             0.00086312
                      7,                0.39208,                0.36005,                 1.1051,                 0.9413,                0.78861,                 0.8745,                0.67415,                 5.9717,                 3.7376,                 10.833,             0.00072164,             0.00072164,             0.00072164
                      8,                0.33369,                0.31623,                 1.0639,                0.89348,                0.85138,                0.92802,                0.72222,                 6.0087,                 4.9521,                 11.488,             0.00058017,             0.00058017,             0.00058017
                      9,                0.29518,                0.28074,                 1.0377,                0.82671,                0.70161,                0.79899,                0.61371,                 6.0061,                 3.7885,                 11.102,              0.0004387,              0.0004387,              0.0004387
                     10,                  0.246,                0.24492,                 1.0061,                0.81076,                 0.7523,                0.80595,                0.60452,                 6.0287,                 4.4578,                 11.349,             0.00029723,             0.00029723,             0.00029723
